starttime,endtime,date,start,end,activity,location,generalemo,qualitative,excited,happy,calm,anxious,sad,angry,hungry,tired,bored
5/2/16 13:25,5/2/16 13:28,5/2/16,1:25 PM,1:28 PM,Trying on watch,Barb's Office,Excited,8,8,8,,,,,,,
5/2/16 13:40,5/2/16 0:00,5/2/16,1:40 PM,,Editing photos for work,Barb's Office,Streeeeeessed,6,,,,,,,,,
5/2/16 13:48,5/2/16 13:48,5/2/16,1:48 PM,1:48 PM,Wafer fit perfectly on top of cup,Barb's Office,HAPPY,10,10,10,,,,,,,
5/2/16 14:31,5/2/16 14:50,5/2/16,2:31 PM,2:50 PM,Sorting through magnetic pins,Barb's Office,Anxious,5,,,,5,,6,,,
5/2/16 15:10,5/2/16 15:14,5/2/16,3:10 PM,3:14 PM,Trying to figure out where photos went,Barb's Office,"ANXIOUS, CONFUSED",9,,,,9,,,,,
5/2/16 16:17,5/2/16 16:20,5/2/16,4:17 PM,4:20 PM,Lightroom not opening,5th floor lounge,Anxious,8,,,,8,,,,,
5/2/16 16:30,5/2/16 16:55,5/2/16,4:30 PM,4:55 PM,Meeting with Jonathan Bach,Jonathan Bach's office,Anxious,5,,,,5,,,,,
5/2/16 19:50,5/2/16 21:00,5/2/16,7:50 PM,9:00 PM,Going home,"Train, bus","Tired, calm",8,,,5,,,,,,
5/2/16 21:20,5/2/16 21:50,5/2/16,9:20 PM,9:50 PM,Shopping for thumb tacks,Home Depot,Calm,6,,,5,,,,,,
5/2/16 22:00,5/2/16 22:07,5/2/16,10:00 PM,10:07 PM,ATM wouldn't give me my money,Chase,"Angry, anxious",9,,,,8,,8,,,
5/3/16 0:04,5/3/16 0:24,5/3/16,12:04 AM,12:24 AM,Workout,Home,Tired,5,,,,,,,,5,
5/3/16 9:00,5/3/16 9:10,5/3/16,9:00 AM,9:10 AM,Woke up late,Home,"Anxious, frantic",8,,,,10,,,,10,
5/3/16 10:30,5/3/16 12:00,5/3/16,10:30 AM,12:00 PM,Working,3rd floor lab,Anxious,8,,,,8,,,,,
5/3/16 15:45,5/3/16 16:00,5/3/16,3:45 PM,4:00 PM,Visiting Sarah,5th floor cage,"Happy, anxious",6,,6,,6,,,,,
5/3/16 16:09,5/3/16 16:09,5/3/16,4:09 PM,4:09 PM,Reading Barb's e-mail reply,300 Studio,Happy,5,,5,,,,,,,
5/3/16 16:10,5/3/16 16:10,5/3/16,4:10 PM,4:10 PM,Complaining about Jodie,300 Studio,Angry,8,,,,,,8,,,
5/3/16 17:40,5/3/16 18:10,5/3/16,5:40 PM,6:10 PM,Final critique,300 Studio,Anxious,6,,,,6,,,,,
5/3/16 18:30,5/3/16 20:00,5/3/16,6:30 PM,8:00 PM,China TA Meeting,"6 E 16, 1209",Calm,7,,,7,,,,,,
5/3/16 20:00,5/3/16 0:00,5/3/16,8:00 PM,,Editing photos for work,D12,Calm,5,,,5,,,,,,
5/3/16 22:04,5/3/16 22:10,5/3/16,10:04 PM,10:10 PM,Photo shoot cancelled,Car ride home,Angry,10,,,,,,10,,,
5/4/16 6:00,5/4/16 6:30,5/4/16,6:00 AM,6:30 AM,Alarm rings,Home,Tired,10,,,,,,,,10,
5/4/16 7:00,5/4/16 8:20,5/4/16,7:00 AM,8:20 AM,Going to school/editing photos,"Train, bus","Tired, calm",6,,,6,,,,,9,
5/4/16 20:28,5/4/16 20:45,5/4/16,8:28 PM,8:45 PM,Waiting for Charles,Joe's Coffee,Angry,4,,,,,,6,,,
5/4/16 12:22,5/4/16 14:18,5/4/16,12:22 PM,2:18 PM,In Butt's class,UC Basement,"Tired, anxious, dying",8,,,,9,,,,8,
5/4/16 14:18,5/4/16 14:20,5/4/16,2:18 PM,2:20 PM,Reading coworker's message,UC Basement,Angry,8,,,,,,,,,
5/4/16 14:30,5/4/16 15:30,5/4/16,2:30 PM,3:30 PM,Editing photos for work,UC Basement,"Angry, anxious",8,,,,,,,,,
